0,51,10
52,218,3
221,235,10
236,262,2
263,276,1
277,287,9
288,290,7
291,301,7
302,331,5
332,366,1
367,368,7
369,377,7
385,392,8
393,414,3
415,449,1
452,475,2
483,489,3
490,510,4
511,527,10
528,570,1
571,577,3
578,597,1
598,601,13
603,608,11
610,623,12
624,630,3
631,637,7
638,644,9
645,678,3
679,695,9
696,713,1
714,731,9
735,740,6
741,787,3
788,798,1
799,803,13
808,818,13
826,830,3
831,860,2
877,888,1
889,893,13
895,900,11
901,908,12
910,921,3
922,935,1
936,939,13
940,940,7
943,957,7
958,964,3
965,970,7
971,978,9
979,988,3
989,1007,9
1010,1029,1
1030,1040,9
1041,1065,6
1072,1122,4
1198,1219,1
1220,1243,12
1244,1264,3
1273,1299,1
1300,1307,3
1309,1327,4
1328,1334,1
1335,1335,9
1336,1344,13
1346,1357,7
1358,1367,3
1368,1379,1
1380,1385,9
1399,1413,6
1414,1434,1
1438,1448,2
1449,1463,1
1464,1464,9
1465,1475,13
1476,1516,9
1517,1523,1
1524,1529,13
1531,1535,11
1538,1541,12
1554,1574,11
1575,1614,3
1615,1637,1
1643,1675,6
1672,1683,5
1684,1707,3
1724,1750,3
1751,1773,1
1778,1792,3
1793,1801,1
1802,1828,13
1829,1872,3
1873,1883,1
1884,1884,13
1885,1885,9
1887,1891,6
1893,1915,8
1916,1940,3
1941,1966,1
1967,1979,13
1980,1982,7
2010,2033,1
2065,2081,1
2082,2088,7
2090,2115,7
2116,2135,3
2136,2158,9
2165,2181,6
2182,2201,4
2202,2210,3
2211,2224,1
2225,2228,9
2230,2253,6
2277,2294,1
2295,2299,13
2301,2308,11
2311,2312,13
2313,2314,9
2316,2324,6
2342,2355,3
2356,2365,1
2366,2369,9
2370,2372,7
2374,2389,7
2390,2397,1
2398,2434,9
2435,2484,1
2486,2489,6
2491,2512,8
2515,2521,3
2522,2531,8
2536,2577,3
2578,2611,1
2612,2629,3
2651,2652,9
2653,2659,7
2660,2662,7
2745,2752,3
2753,2764,1
2765,2767,7
2769,2774,7
2827,2845,2
2881,2908,7
2909,2924,3
2946,2957,4
2975,2983,4
