0,38,8
39,151,4
169,182,4
183,199,1
226,233,4
262,295,1
296,303,4
304,317,1
332,349,2
367,380,3
381,399,1
424,429,6
400,412,7
430,442,4
505,516,4
517,552,5
553,562,1
576,589,7
590,597,4
628,652,5
655,668,3
669,686,1
704,713,6
714,730,4
731,743,5
786,815,3
832,845,3
846,864,1
887,895,6
896,913,4
963,1000,5
1018,1038,3
1039,1063,1
1064,1082,7
1089,1096,4
1119,1131,1
1143,1157,7
1158,1183,4
1218,1245,1
1273,1278,6
1279,1290,4
1292,1303,1
1341,1374,5
1396,1415,1
1449,1463,4
1464,1493,1
1496,1519,3
1529,1537,4
1544,1569,1
1576,1582,2
1593,1600,4
1601,1606,3
1607,1616,1
1670,1717,1
1719,1752,5
1753,1771,1
1772,1793,7
1794,1800,5
1840,1851,1
1852,1882,7
1922,1937,9
1998,2012,4
2040,2057,7
2078,2085,6
2103,2120,1
2121,2123,2
2154,2165,4
2166,2185,4
2265,2293,4
2294,2330,4
2331,2350,1
2366,2383,7
2384,2400,1
2402,2419,7
2434,2541,4
2558,2567,3
2568,2586,1
